"","SurveyResponseID","ForecastYear","Year","Country","TotalVisitorDays","TotalVisitorArrivals","SpendPerDay","AvLengthOfStay","TotalVisitorSpend"
"1",3450025,2015,2015,"Other excl India and Indonesia",19945128,631363,113.9105111,31.6,1760174755
"2",3449810,2015,2015,"US",4353965,243573,211.884366,17.9,922537033
"3",3449896,2015,2015,"All",62753142,2995951,157.3623199,20.9,8154618392
"4",3449939,2015,2015,"Indonesia",336322,17576,526.032753,19.1,45138992
"5",3449982,2015,2015,"India",2085706,40184.52149,165.7805704,51.9,115713047
"6",3449724,2015,2015,"UK",6014719,196125,141.7852245,30.7,831166452
"7",3449681,2015,2015,"Germany",4287346,85941,114.9395025,49.9,474147747
"8",3449638,2015,2015,"Korea",1028918,60335,269.881097,17.1,154120796
"9",3449552,2015,2015,"China",6601323,305187,280.7185291,21.6,1277686668
"10",3449767,2015,2015,"Canada",1276645,48120,122.9038956,26.5,201761929
"11",3449509,2015,2015,"Australia",15404910,1285193,158.5558161,12,2179198493
"12",3449595,2015,2015,"Japan",1418160,82353,145.2154582,17.2,192972480
"13",3449853,2015,2015,"Other incl India and Indonesia",22367156,689124,118.6981087,32.5,1921026794
