Product,Year,Value
Accommodation services,2011,"2,000"
Food and beverage serving services,2011,"2,624"
Air passenger transport,2011,"3,934"
Other passenger transport,2011,"2,160"
Retail sales – fuel and other automotive products ,2011,"2,527"
Retail sales – other ,2011,"4,741"
Education services,2011,423
Other tourism products,2011,"1,870"
Accommodation services,2012,"2,047"
Food and beverage serving services,2012,"2,685"
Air passenger transport,2012,"4,029"
Other passenger transport,2012,"2,176"
Retail sales – fuel and other automotive products ,2012,"2,716"
Retail sales – other ,2012,"4,884"
Education services,2012,421
Other tourism products,2012,"1,939"
Accommodation services,2013,"2,084"
Food and beverage serving services,2013,"2,699"
Air passenger transport,2013,"4,140"
Other passenger transport,2013,"2,172"
Retail sales – fuel and other automotive products ,2013,"2,690"
Retail sales – other ,2013,"4,815"
Education services,2013,441
Other tourism products,2013,"1,916"
Accommodation services,2014,"2,173"
Food and beverage serving services,2014,"2,839"
Air passenger transport,2014,"4,222"
Other passenger transport,2014,"2,306"
Retail sales – fuel and other automotive products ,2014,"2,887"
Retail sales – other ,2014,"5,069"
Education services,2014,481
Other tourism products,2014,"2,019"
